,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,File,%Correttezza,%Anomaly,%FN,Istanze_?_nel_test,Istanze_normal_nel_test,Tot_istanze_nel_test,%FP
,,,Train_NormalFiltered_Test_NormalAnomalyFiltered_csv,85.84,88.6,11.4,71463,15410,86873,26.98
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
File:,presenta il nome del file .csv che è stato analizzato,,,,,,,,,
%Correttezza: indica la percentuale complessiva del numero di anomalie e ‘normal’ che sono state classificate correttamente  rispetto al totale,,,,,,,(se il test è compreso anche di istanze ‘normal’),,,
%Anomaly:,indica la percentuale delle anomalie che sono state classificate correttamente come tali,,,,,,,,,
%FN:,indica la percentuale delle anomalie che sono state classificate erroneamente come normali,,,,,,,,,
%FP: indica la percentuale delle istanze ‘normal’ che sono state identificate come anomalie,,,,,,,,,,
